DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,EXPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,EXPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,IMPQNT,2024,300
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,IMPVAL,2024,41190
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291990,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,EXPQNT,2024,14654
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,EXPVAL,2024,8478
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,IMPQNT,2024,410043
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,IMPVAL,2024,134032
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111133,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,EXPQNT,2024,2159937
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,EXPVAL,2024,2187448
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,IMPQNT,2024,117684
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,IMPVAL,2024,58433
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111136,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111150,EXPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111150,EXPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111150,IMPQNT,2024,95000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111150,IMPVAL,2024,64904
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111150,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111220,EXPQNT,2024,35978197
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111220,EXPVAL,2024,2281236
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111220,IMPQNT,2024,67087444
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111220,IMPVAL,2024,2234824
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111220,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,EXPQNT,2024,90427988
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,EXPVAL,2024,10842539
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,IMPQNT,2024,92243120
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,IMPVAL,2024,29550075
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,PRODQNT,2024,4787891000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,PRODVAL,2024,60535557
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111233,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,EXPQNT,2024,1058628
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,EXPVAL,2024,248941
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,IMPQNT,2024,5612511
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,IMPVAL,2024,1740995
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,PRODQNT,2024,10628000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,PRODVAL,2024,2111570
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111236,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,EXPQNT,2024,17375330
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,EXPVAL,2024,932913
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,IMPQNT,2024,26413
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,IMPVAL,2024,9554
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,PRODQNT,2024,1619058000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,PRODVAL,2024,14639788
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111250,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111261,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111261,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111261,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111262,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111262,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111262,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,08111269,QNTUNIT,2024,KG
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,EXPQNT,2024,11064418
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,EXPVAL,2024,351902
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,IMPQNT,2024,90216389
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,IMPVAL,2024,1356420
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,PRODQNT,2024,498652000
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,PRODVAL,2024,1079939
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,081112Z1,QNTUNIT,2024,KG
